block,timestamp,rate
14549760,1649483580,1020888790267817335872958447
14561280,1649638540,1021082322321199867486878224
14567040,1649716157,1021179435453026325962142748
14572800,1649793433,1021273510843459542366794947
14578560,1649872156,1021371864736101252876316929
14584320,1649949672,1021465358969412761422107611
14590080,1650027595,1021561629188262435046123554
14595840,1650105510,1021657106433759773735091965
14601600,1650182208,1021750104183649654197254880
14607360,1650260585,1021847362091293174886525644
14613120,1650337983,1021941415119246336698868278
14624640,1650493541,1022123506616409366736775338
14630400,1650572625,1022218336925312560308588958
14636160,1650650599,1022309083020393313143095602
14641920,1650728421,1022405213255421247330452236
14647680,1650806281,1022499516331804502425648783
14653440,1650884905,1022596100719286643903865503
14659200,1650963124,1022690875102167657728565364
14664960,1651041987,1022785805267804584859583701
14676480,1651198280,1022972818711519331899387947
14682240,1651276312,1023066580911174932967284420
14688000,1651354223,1023158010182514122527694385
14693760,1651432703,1023250290050565211636021307
14699520,1651510764,1023342005330362441589959371
14705280,1651589788,1023435024150696341660159647
14711040,1651668593,1023530501490225240929907115
14716800,1651747483,1023625128726341264613013802
14722560,1651826734,1023722471073580498621370737
14734080,1651985512,1023911491884174094455002003
14739840,1652063911,1024008345607460977577056922
14745600,1652144185,1024103463212929242381963364
14751360,1652224400,1024201790348525215264194642
14757120,1652302886,1024296332794628891607053948
14762880,1652383423,1024392742752457067438788368
14768640,1652462103,1024486569451205724665769720
14774400,1652542497,1024583990875469414982436935
14780160,1652620624,1024678976576026987868442123
14797440,1652857874,1024962626049384673790262546
14803200,1652938090,1025059422737838059736779106
14808960,1653019645,1025157078208218630849701522
14814720,1653100504,1025254611747488178020328436
14820480,1653181266,1025352699111628637826371836
14826240,1653262253,1025449588490978137973031840
14832000,1653342501,1025543653492495115141816005
14837760,1653423901,1025640745135628323369931118
14849280,1653586148,1025828537548217262667811534
14855040,1653667444,1025922983935784513304611982
14860800,1653748258,1026018119944892166429862893
14866560,1653829162,1026113331865626485756472630
14872320,1653910387,1026209413109747230765089323
14878080,1653991143,1026307750415429910910006505
14883840,1654072399,1026403793995641778085003834
14889600,1654153801,1026502356712851858611688825
14895360,1654234515,1026599253986324262373044488
14906880,1654400221,1026793795816522881011714495
14912640,1654484710,1026892161919818755759184649
14918400,1654569774,1026994899740333412633025897
14924160,1654653662,1027094919285384123607191853
14929920,1654738098,1027197987462039863431813806
14935680,1654823350,1027304108017384923832661768
14941440,1654908339,1027407532010818332514656018
14947200,1654992930,1027506135897336606399828613
14952960,1655078280,1027610544918212630548787268
14964480,1655250122,1027815867812309024715116363
14970240,1655336680,1027916443504608293076967304
14976000,1655422235,1028020261352758203022591045
14981760,1655507222,1028123706255948268702655006
14987520,1655592723,1028225193334701894377733481
14993280,1655679498,1028327594600088450724742946
14999040,1655764768,1028430127337714540873785202
15004800,1655855032,1028537459816155530029681806
15010560,1655948265,1028648713128345690215441392
15022080,1656133955,1028870792044367037579410399
15027840,1656227854,1028983791573806158062493864
15033600,1656320957,1029096447561969681971221330
15039360,1656414600,1029211414125755348808435812
15045120,1656507451,1029316227654002773627484408
15050880,1656600130,1029429559372708185506969368
15056640,1656678850,1029523618065120550016203495
15062400,1656755579,1029615611848183521206285083
15068160,1656832806,1029709863690817326373202110
15079680,1656986291,1029897352999515642818458091
15085440,1657063181,1029992439594182747955859853
15091200,1657140236,1030082929186402994490724061
15096960,1657217451,1030176558094566769975853933
