block,timestamp,rate
14555030,1649554219,1067472418481557458937724253
14561430,1649640503,1067586147220965011158285178
14567830,1649727020,1067700147185968838113507825
14574230,1649813150,1067814903386480400539999677
14580630,1649899899,1067929896864992122372959964
14587030,1649986339,1068043406729376336911566317
14593430,1650072642,1068155432730703454963383676
14599830,1650158498,1068268364004756548932302634
14606230,1650245324,1068380787030278441069135597
14612630,1650331529,1068493564817995109633545155
14619030,1650418330,1068605672617126684110850650
14625430,1650504514,1068719072719221920328968615
14631830,1650591857,1068832448446131669997538245
14638230,1650677871,1068944430932441518158553597
14644630,1650764782,1069056492684201922907560625
14651030,1650851898,1069170248713726923143361012
14657430,1650938933,1069284450892435233333172129
14663830,1651026543,1069398083950552722984326266
14670230,1651112910,1069509555490127786417171206
14676630,1651200220,1069620286819385865412802781
14683030,1651286962,1069731363254997087535618983
14689430,1651374112,1069843314109203694451215776
14695830,1651460449,1069953521338915085296333079
14702230,1651547907,1070063187399470584843467443
14708630,1651635634,1070168892206882423443690075
14715030,1651723144,1070274551073343913624825046
14721430,1651811313,1070380273694408397079100768
14727830,1651899302,1070485578483524870126821709
14734230,1651987599,1070590240340570106312849378
14740630,1652074647,1070695826478430983931857239
14747030,1652163531,1070801032541141263783979447
14753430,1652252543,1070906930038966918746161615
14759830,1652340857,1071013043471499263310970021
14766230,1652429387,1071120153458638353009266531
14772630,1652517862,1071226893624992827247560939
14779030,1652605354,1071334201430081964379696106
14785430,1652693202,1071443173066853536636431183
14791830,1652780777,1071552852612309353885215125
14798230,1652868548,1071663732239299774767008133
14804630,1652958874,1071775141745421510643688942
14811030,1653048425,1071887512788743562682344493
14817430,1653138518,1072111386102180338298902541
14823830,1653228810,1072225640994837063675595385
14830230,1653317750,1072339505663582219006425150
14836630,1653407604,1072456011196551975589373133
14843030,1653498187,1072572689114177030469297351
14849430,1653588429,1072690370722088176509146506
14855830,1653678085,1072807737405152312769781567
14862230,1653767998,1072926168057397280693638393
14868630,1653857555,1073043629899094473549789940
14875030,1653947712,1073161313764035195270414670
14881430,1654038152,1073279516740150410839018177
14887830,1654128606,1073398473216188936591392721
14894230,1654218321,1073516625659370076807407596
14900630,1654308294,1073635087057210418398754640
14907030,1654402724,1073753287619229851077786522
14913430,1654496353,1073871010466494060427639693
14919830,1654590580,1073989189138505489163522002
14926230,1654684500,1074107057218833282983249761
14932630,1654778192,1074224739278887190525742770
14939030,1654872787,1074461441965947673156516836
14945430,1654967375,1074579547277770633179481325
14951830,1655061163,1074697726413162893057908093
14958230,1655156379,1074815253005896144158100204
14964630,1655252434,1074932721311129347085279230
14971030,1655348048,1075050717667875386693674579
14977430,1655443128,1075167764286668509116202691
14983830,1655538339,1075285097535351188536736894
14990230,1655633412,1075402348080286520084173164
14996630,1655729072,1075635871399553395975438102
15003030,1655826648,1075753005957224757634507733
15009430,1655929888,1075870157728924987622208451
15015830,1656033832,1075986987249309892706415049
15022230,1656136278,1076104367462616827049821278
15028630,1656240660,1076221273888978950003381308
15035030,1656343337,1076454877601569321869671558
15041430,1656447353,1076571805980165022361455635
15047830,1656550792,1076688660297006942565888210
15054230,1656646863,1076805850648432598627803697
15060630,1656732422,1076922239357196746188613046
15067030,1656817240,1077039569267086687687251825
15073430,1656902844,1077155719316616284685224171
15079830,1656988032,1077272225887644039895131978
15086230,1657073699,1077389108821174620494509615
15092630,1657159427,1077505539378612583110514237
15099030,1657244554,1077623031079333642872922972
